Word,Level
African-American,16
administration,14
responsibility,14
representative,14
characteristic,14
transportation,14
interpretation,14
constitutional,14
recommendation,14
representation,14
discrimination,14
identification,14
transformation,14
administrative,14
implementation,14
infrastructure,14
simultaneously,14
accomplishment,14
organizational,14
disappointment,14
rehabilitation,14
accountability,14
international,13
environmental,13
investigation,13
communication,13
understanding,13
significantly,13
unfortunately,13
participation,13
congressional,13
entertainment,13
psychological,13
approximately,13
administrator,13
consideration,13
extraordinary,13
concentration,13
establishment,13
comprehensive,13
correspondent,13
sophisticated,13
controversial,13
demonstration,13
manufacturing,13
institutional,13
consciousness,13
effectiveness,13
questionnaire,13
uncomfortable,13
traditionally,13
technological,13
determination,13
automatically,13
revolutionary,13
collaboration,13
instructional,13
unprecedented,13
confrontation,13
developmental,13
philosophical,13
old-fashioned,13
undergraduate,13
substantially,13
relationship,12
organization,12
particularly,12
professional,12
neighborhood,12
conversation,12
construction,12
intelligence,12
increasingly,12
presidential,12
contribution,12
circumstance,12
conservative,12
intervention,12
contemporary,12
specifically,12
manufacturer,12
investigator,12
independence,12
championship,12
distribution,12
occasionally,12
conventional,12
nevertheless,12
satisfaction,12
considerable,12
intellectual,12
headquarters,12
characterize,12
presentation,12
introduction,12
significance,12
psychologist,12
photographer,12
agricultural,12
successfully,12
prescription,12
dramatically,12
surprisingly,12
experimental,12
unemployment,12
civilization,12
architecture,12
overwhelming,12
consistently,12
announcement,12
transmission,12
respectively,12
compensation,12
historically,12
carbohydrate,12
disappointed,12
refrigerator,12
productivity,12
practitioner,12
entrepreneur,12
Christianity,12
metropolitan,12
appreciation,12
commissioner,12
consequently,12
conservation,12
installation,12
constitution,12
Thanksgiving,12
deliberately,12
considerably,12
jurisdiction,12
availability,12
surveillance,12
economically,12
information,11
development,11
opportunity,11
performance,11
significant,11
environment,11
traditional,11
institution,11
interesting,11
participant,11
immediately,11
possibility,11
independent,11
competition,11
responsible,11
demonstrate,11
perspective,11
participate,11
appropriate,11
application,11
instruction,11
educational,11
temperature,11
consequence,11
acknowledge,11
comfortable,11
investigate,11
combination,11
requirement,11
expectation,11
improvement,11
necessarily,11
legislation,11
achievement,11
explanation,11
alternative,11
interaction,11
personality,11
association,11
observation,11
description,11
negotiation,11
essentially,11
enforcement,11
competitive,11
involvement,11
fundamental,11
arrangement,11
concentrate,11
engineering,11
immigration,11
implication,11
recognition,11
publication,11
grandmother,11
preparation,11
Palestinian,11
substantial,11
effectively,11
incorporate,11
corporation,11
advertising,11
cooperation,11
communicate,11
destruction,11
electricity,11
complicated,11
potentially,11
politically,11
controversy,11
imagination,11
partnership,11
distinction,11
grandfather,11
celebration,11
composition,11
appointment,11
scholarship,11
reservation,11
maintenance,11
examination,11
cholesterol,11
restriction,11
differently,11
consumption,11
orientation,11
furthermore,11
measurement,11
frustration,11
distinguish,11
nonetheless,11
quarterback,11
anniversary,11
correlation,11
legislative,11
integration,11
prosecution,11
replacement,11
intelligent,11
accommodate,11
uncertainty,11
health-care,11
theoretical,11
transaction,11
counterpart,11
residential,11
businessman,11
acquisition,11
destination,11
exploration,11
practically,11
photography,11
outstanding,11
credibility,11
inspiration,11
agriculture,11
willingness,11
spectacular,11
reliability,11
fascinating,11
coordinator,11
ideological,11
documentary,11
progressive,11
self-esteem,11
cooperative,11
mathematics,11
influential,11
translation,11
statistical,11
fortunately,11
flexibility,11
experienced,11
legislature,11
encouraging,11
surrounding,11
preliminary,11
speculation,11
desperately,11
sensitivity,11
exclusively,11
marketplace,11
embarrassed,11
demographic,11
programming,11
shareholder,11
calculation,11
emotionally,11
grandparent,11
supermarket,11
distinctive,11
theological,11
contemplate,11
devastating,11
neighboring,11
consecutive,11
citizenship,11
sovereignty,11
contributor,11
importantly,11
electronics,11
convenience,11
sustainable,11
government,10
understand,10
everything,10
experience,10
themselves,10
difference,10
especially,10
technology,10
Republican,10
population,10
individual,10
television,10
democratic,10
management,10
particular,10
production,10
conference,10
throughout,10
generation,10
commercial,10
investment,10
discussion,10
collection,10
successful,10
eventually,10
restaurant,10
absolutely,10
completely,10
researcher,10
department,10
university,10
interested,10
leadership,10
contribute,10
protection,10
additional,10
background,10
apparently,10
connection,10
relatively,10
historical,10
expression,10
literature,10
assessment,10
importance,10
scientific,10
impossible,10
instrument,10
commitment,10
photograph,10
conclusion,10
regulation,10
appearance,10
difficulty,10
appreciate,10
ultimately,10
politician,10
percentage,10
basketball,10
frequently,10
perception,10
confidence,10
opposition,10
industrial,10
everywhere,10
resolution,10
experiment,10
definitely,10
curriculum,10
assistance,10
depression,10
journalist,10
definition,10
prosecutor,10
initiative,10
comparison,10
settlement,10
transition,10
atmosphere,10
consistent,10
resistance,10
philosophy,10
foundation,10
discipline,10
previously,10
accomplish,10
illustrate,10
evaluation,10
increasing,10
commission,10
tablespoon,10
electronic,10
reputation,10
retirement,10
phenomenon,10
convention,10
exhibition,10
consultant,10
constantly,10
enterprise,10
suggestion,10
reasonable,10
elementary,10
aggressive,10
employment,10
impression,10
respondent,10
specialist,10
disability,10
biological,10
ingredient,10
assumption,10
developing,10
personally,10
remarkable,10
statistics,10
reflection,10
revolution,10
tournament,10
tremendous,10
surprising,10
attractive,10
originally,10
profession,10
constitute,10
regardless,10
distribute,10
vulnerable,10
capability,10
psychology,10
obligation,10
limitation,10
preference,10
incredible,10
friendship,10
efficiency,10
proportion,10
conviction,10
strengthen,10
membership,10
sufficient,10
helicopter,10
punishment,10
girlfriend,10
adjustment,10
motivation,10
assignment,10
laboratory,10
medication,10
anticipate,10
legitimate,10
instructor,10
nomination,10
permission,10
physically,10
repeatedly,10
impressive,10
competitor,10
subsequent,10
widespread,10
occupation,10
collective,10
indication,10
hypothesis,10
adolescent,10
concerning,10
counseling,10
acceptable,10
continuous,10
presidency,10
acceptance,10
excitement,10
occasional,10
allegation,10
mainstream,10
inevitable,10
unexpected,10
facilitate,10
inspection,10
supervisor,10
possession,10
prediction,10
continuing,10
innovation,10
administer,10
indigenous,10
separation,10
enthusiasm,10
wilderness,10
mechanical,10
astronomer,10
corruption,10
contractor,10
compromise,10
behavioral,10
complexity,10
meaningful,10
electrical,10
attraction,10
altogether,10
engagement,10
structural,10
accounting,10
regulatory,10
diplomatic,10
prevention,10
productive,10
popularity,10
automobile,10
artificial,10
processing,10
ridiculous,10
invitation,10
officially,10
mysterious,10
protective,10
specialize,10
associated,10
withdrawal,10
thoroughly,10
optimistic,10
bankruptcy,10
revelation,10
discourage,10
conspiracy,10
functional,10
manipulate,10
earthquake,10
creativity,10
underlying,10
incredibly,10
presumably,10
equivalent,10
short-term,10
accessible,10
grandchild,10
reportedly,10
well-known,10
ecological,10
attendance,10
innovative,10
ambassador,10
supportive,10
aggression,10
journalism,10
well-being,10
compliance,10
supposedly,10
two-thirds,10
harassment,10
likelihood,10
suspicious,10
wheelchair,10
legislator,10
conception,10
comparable,10
conscience,10
inevitably,10
constraint,10
expedition,10
similarity,10
conversion,10
projection,10
graduation,10
integrated,10
ironically,10
confession,10
disturbing,10
technician,10
coordinate,10
articulate,10
accusation,10
straighten,10
compelling,10
accurately,10
missionary,10
accelerate,10
nationwide,10
something,9
different,9
important,9
political,9
community,9
president,9
education,9
including,9
sometimes,9
according,9
situation,9
attention,9
difficult,9
available,9
condition,9
certainly,9
represent,9
treatment,9
determine,9
recognize,9
character,9
everybody,9
professor,9
operation,9
financial,9
authority,9
knowledge,9
executive,9
religious,9
establish,9
statement,9
direction,9
interview,9
structure,9
candidate,9
necessary,9
challenge,9
beautiful,9
scientist,9
agreement,9
newspaper,9
concerned,9
effective,9
therefore,9
encourage,9
afternoon,9
insurance,9
beginning,9
generally,9
introduce,9
tradition,9
potential,9
Christian,9
apartment,9
obviously,9
advantage,9
technique,9
principle,9
equipment,9
associate,9
Christmas,9
procedure,9
influence,9
wonderful,9
committee,9
dangerous,9
following,9
classroom,9
democracy,9
yesterday,9
colleague,9
otherwise,9
disappear,9
corporate,9
somewhere,9
carefully,9
emotional,9
expensive,9
recommend,9
basically,9
currently,9
emergency,9
extremely,9
component,9
long-term,9
ourselves,9
landscape,9
eliminate,9
meanwhile,9
telephone,9
reference,9
seriously,9
surprised,9
vegetable,9
essential,9
household,9
increased,9
emphasize,9
secretary,9
typically,9
celebrate,9
physician,9
virtually,9
technical,9
immigrant,9
passenger,9
criticism,9
spiritual,9
childhood,9
cigarette,9
excellent,9
selection,9
primarily,9
regarding,9
remaining,9
territory,9
immediate,9
transform,9
existence,9
discovery,9
coalition,9
reduction,9
substance,9
elsewhere,9
practical,9
volunteer,9
implement,9
marketing,9
complaint,9
commander,9
breakfast,9
so-called,9
exception,9
objective,9
dimension,9
personnel,9
perfectly,9
supporter,9
accompany,9
gentleman,9
permanent,9
literally,9
construct,9
sensitive,9
intention,9
diversity,9
historian,9
negotiate,9
criticize,9
precisely,9
terrorism,9
provision,9
satellite,9
chocolate,9
universal,9
testimony,9
furniture,9
mechanism,9
infection,9
strategic,9
assistant,9
encounter,9
initially,9
spokesman,9
incentive,9
translate,9
expansion,9
telescope,9
interpret,9
guarantee,9
awareness,9
similarly,9
naturally,9
regularly,9
terrorist,9
extensive,9
adventure,9
confident,9
violation,9
defensive,9
prominent,9
pollution,9
variation,9
evolution,9
celebrity,9
gradually,9
stability,9
framework,9
depending,9
counselor,9
economist,9
efficient,9
frequency,9
explosion,9
admission,9
calculate,9
formation,9
guideline,9
publisher,9
desperate,9
lifestyle,9
narrative,9
principal,9
temporary,9
brilliant,9
offensive,9
economics,9
extension,9
inflation,9
dependent,9
operating,9
discourse,9
continued,9
intensity,9
consensus,9
recording,9
pregnancy,9
reinforce,9
confusion,9
cognitive,9
attribute,9
defendant,9
container,9
architect,9
highlight,9
boyfriend,9
northwest,9
interrupt,9
sculpture,9
integrate,9
secondary,9
integrity,9
classical,9
estimated,9
developer,9
seemingly,9
inspector,9
companion,9
southwest,9
recession,9
ownership,9
nightmare,9
diagnosis,9
privilege,9
broadcast,9
radiation,9
amendment,9
undermine,9
southeast,9
convinced,9
apologize,9
exclusive,9
suspicion,9
residence,9
signature,9
promotion,9
detective,9
portfolio,9
invisible,9
identical,9
nonprofit,9
promising,9
conscious,9
departure,9
happiness,9
reporting,9
indicator,9
reluctant,9
expertise,9
therapist,9
recipient,9
suffering,9
full-time,9
reception,9
necessity,9
performer,9
inventory,9
magnitude,9
collector,9
realistic,9
gathering,9
hopefully,9
cooperate,9
continent,9
undertake,9
automatic,9
sentiment,9
sacrifice,9
northeast,9
liability,9
courtroom,9
instantly,9
afterward,9
alongside,9
execution,9
fisherman,9
isolation,9
workplace,9
touchdown,9
ambitious,9
uncertain,9
aesthetic,9
anonymous,9
franchise,9
correctly,9
sensation,9
partially,9
placement,9
columnist,9
interfere,9
stimulate,9
worldwide,9
depressed,9
migration,9
breathing,9
hurricane,9
curiosity,9
perceived,9
publicity,9
ecosystem,9
specialty,9
lightning,9
excessive,9
high-tech,9
commodity,9
processor,9
elaborate,9
transport,9
allegedly,9
mortality,9
municipal,9
tolerance,9
screening,9
voluntary,9
privately,9
threshold,9
routinely,9
regulator,9
objection,9
chemistry,9
overnight,9
fantastic,9
policeman,9
authorize,9
sexuality,9
invention,9
favorable,9
youngster,9
overwhelm,9
one-third,9
speculate,9
frustrate,9
biography,9
twentieth,9
foreigner,9
organized,9
warehouse,9
butterfly,9
American,8
question,8
national,8
business,8
continue,8
together,8
anything,8
research,8
although,8
remember,8
consider,8
actually,8
probably,8
interest,8
economic,8
possible,8
military,8
decision,8
building,8
director,8
position,8
official,8
everyone,8
activity,8
industry,8
practice,8
describe,8
personal,8
computer,8
evidence,8
daughter,8
Congress,8
campaign,8
material,8
hospital,8
thousand,8
increase,8
security,8
behavior,8
recently,8
movement,8
language,8
response,8
approach,8
pressure,8
resource,8
identify,8
whatever,8
indicate,8
training,8
election,8
physical,8
standard,8
analysis,8
strategy,8
Democrat,8
yourself,8
maintain,8
employee,8
cultural,8
politics,8
suddenly,8
discover,8
specific,8
shoulder,8
property,8
somebody,8
magazine,8
marriage,8
violence,8
positive,8
consumer,8
painting,8
attorney,8
audience,8
majority,8
customer,8
southern,8
relation,8
critical,8
original,8
directly,8
attitude,8
powerful,8
announce,8
involved,8
conflict,8
argument,8
complete,8
solution,8
distance,8
mountain,8
supposed,8
resident,8
European,8
presence,8
district,8
contract,8
strength,8
previous,8
reporter,8
facility,8
identity,8
tomorrow,8
chairman,8
baseball,8
religion,8
document,8
threaten,8
slightly,8
reaction,8
location,8
neighbor,8
function,8
learning,8
category,8
academic,8
Internet,8
negative,8
medicine,8
exercise,8
familiar,8
progress,8
exchange,8
football,8
domestic,8
northern,8
software,8
favorite,8
greatest,8
surround,8
surprise,8
proposal,8
minority,8
straight,8
teaching,8
regional,8
organize,8
struggle,8
conclude,8
generate,8
thinking,8
possibly,8
investor,8
accident,8
Japanese,8
internal,8
Catholic,8
contrast,8
capacity,8
estimate,8
governor,8
producer,8
division,8
entirely,8
complain,8
variable,8
coverage,8
anywhere,8
pleasure,8
separate,8
somewhat,8
judgment,8
minister,8
terrible,8
multiple,8
criminal,8
abortion,8
incident,8
enormous,8
engineer,8
sentence,8
convince,8
addition,8
creative,8
priority,8
creation,8
graduate,8
dramatic,8
universe,8
schedule,8
purchase,8
existing,8
perceive,8
planning,8
opponent,8
preserve,8
opposite,8
exposure,8
occasion,8
ordinary,8
numerous,8
moreover,8
employer,8
dominate,8
whenever,8
transfer,8
disaster,8
prospect,8
spending,8
evaluate,8
emphasis,8
creature,8
disorder,8
strongly,8
constant,8
bathroom,8
confront,8
prisoner,8
designer,8
educator,8
relative,8
teaspoon,8
birthday,8
teenager,8
recovery,8
observer,8
historic,8
apparent,8
approval,8
criteria,8
clinical,8
normally,8
activist,8
ultimate,8
valuable,8
chemical,8
vacation,8
advocate,8
pregnant,8
Canadian,8
darkness,8
clothing,8
portrait,8
survival,8
ceremony,8
disagree,8
unlikely,8
stranger,8
electric,8
literary,8
overcome,8
shopping,8
accurate,8
champion,8
scenario,8
friendly,8
lifetime,8
innocent,8
boundary,8
withdraw,8
dialogue,8
advanced,8
aircraft,8
delivery,8
platform,8
relevant,8
shooting,8
external,8
entrance,8
properly,8
emission,8
earnings,8
exciting,8
musician,8
instance,8
athletic,8
survivor,8
publicly,8
tendency,8
resemble,8
proposed,8
standing,8
provider,8
downtown,8
taxpayer,8
detailed,8
workshop,8
romantic,8
overlook,8
sequence,8
absolute,8
register,8
heritage,8
dominant,8
operator,8
collapse,8
mortgage,8
sanction,8
civilian,8
province,8
distinct,8
artistic,8
fighting,8
persuade,8
moderate,8
frequent,8
everyday,8
headline,8
invasion,8
adequate,8
concrete,8
changing,8
colonial,8
homeless,8
decrease,8
alliance,8
regulate,8
laughter,8
receiver,8
superior,8
compound,8
drinking,8
midnight,8
suburban,8
interior,8
corridor,8
weakness,8
humanity,8
reliable,8
Hispanic,8
airplane,8
initiate,8
sandwich,8
motivate,8
longtime,8
restrict,8
assemble,8
obstacle,8
basement,8
bacteria,8
database,8
ideology,8
railroad,8
peaceful,8
grateful,8
adoption,8
particle,8
festival,8
freshman,8
wherever,8
rhetoric,8
profound,8
currency,8
doctrine,8
horrible,8
commonly,8
sidewalk,8
Olympics,8
pleasant,8
delicate,8
forehead,8
traveler,8
dedicate,8
diagnose,8
theology,8
handsome,8
provided,8
wildlife,8
elevator,8
guidance,8
envelope,8
generous,8
sunlight,8
feedback,8
spectrum,8
starting,8
hesitate,8
metaphor,8
judicial,8
diminish,8
minimize,8
assembly,8
equation,8
offering,8
precious,8
prohibit,8
abstract,8
hardware,8
shortage,8
annually,8
deadline,8
sexually,8
quantity,8
monument,8
accuracy,8
treasure,8
talented,8
gasoline,8
extended,8
diabetes,8
dynamics,8
parental,8
merchant,8
improved,8
ancestor,8
homeland,8
symbolic,8
conceive,8
combined,8
patience,8
tropical,8
intimate,8
flexible,8
casualty,8
republic,8
terrific,8
instinct,8
teammate,8
aluminum,8
ministry,8
instruct,8
mushroom,8
mechanic,8
sympathy,8
syndrome,8
ambition,8
dissolve,8
expected,8
actively,8
illusion,8
tolerate,8
scramble,8
decorate,8
donation,8
interact,8
supplier,8
momentum,8
elephant,8
mentally,8
organism,8
upstairs,8
backyard,8
comprise,8
reminder,8
disabled,8
frontier,8
disclose,8
notebook,8
vertical,8
swimming,8
outsider,8
proclaim,8
required,8
colorful,8
textbook,8
emerging,8
envision,8
rational,8
protocol,8
distract,8
discount,8
retailer,8
classify,8
stimulus,8
likewise,8
informal,8
validity,8
strictly,8
artifact,8
listener,8
socially,8
equality,8
cemetery,8
striking,8
isolated,8
eligible,8
interval,8
feminist,8
sprinkle,8
blessing,8
formerly,8
lawmaker,8
calendar,8
predator,8
autonomy,8
landmark,8
offender,8
fraction,8
fragment,8
headache,8
suitable,8
driveway,8
homework,8
molecule,8
steadily,8
defender,8
explicit,8
magnetic,8
meantime,8
transmit,8
nutrient,8
severely,8
lighting,8
terribly,8
honestly,8
troubled,8
balanced,8
managing,8
diplomat,8
sometime,8
epidemic,8
inherent,8
selected,8
because,7
through,7
between,7
another,7
student,7
country,7
problem,7
against,7
company,7
program,7
believe,7
without,7
million,7
provide,7
service,7
however,7
include,7
several,7
nothing,7
whether,7
already,7
history,7
morning,7
himself,7
teacher,7
process,7
college,7
someone,7
suggest,7
control,7
perhaps,7
require,7
finally,7
explain,7
develop,7
federal,7
receive,7
society,7
special,7
support,7
project,7
produce,7
picture,7
product,7
patient,7
certain,7
century,7
culture,7
billion,7
brother,7
realize,7
hundred,7
husband,7
economy,7
medical,7
current,7
involve,7
defense,7
subject,7
officer,7
private,7
quickly,7
foreign,7
natural,7
concern,7
similar,7
usually,7
article,7
despite,7
central,7
exactly,7
protect,7
serious,7
thought,7
quality,7
meeting,7
prepare,7
disease,7
success,7
ability,7
herself,7
general,7
feeling,7
message,7
outside,7
benefit,7
forward,7
present,7
section,7
compare,7
station,7
clearly,7
discuss,7
example,7
various,7
manager,7
network,7
science,7
imagine,7
tonight,7
respond,7
popular,7
contain,7
measure,7
perform,7
evening,7
mention,7
trouble,7
instead,7
improve,7
soldier,7
reflect,7
surface,7
purpose,7
pattern,7
machine,7
address,7
reality,7
partner,7
kitchen,7
capital,7
account,7
western,7
prevent,7
citizen,7
mission,7
publish,7
release,7
opinion,7
version,7
species,7
freedom,7
achieve,7
concept,7
perfect,7
conduct,7
examine,7
variety,7
nuclear,7
replace,7
British,7
feature,7
weekend,7
African,7
element,7
Chinese,7
attempt,7
village,7
express,7
willing,7
deliver,7
vehicle,7
observe,7
average,7
operate,7
collect,7
promote,7
survive,7
failure,7
comment,7
regular,7
anybody,7
quarter,7
growing,7
destroy,7
context,7
mistake,7
clothes,7
promise,7
combine,7
victory,7
healthy,7
finding,7
contact,7
justice,7
eastern,7
primary,7
plastic,7
writing,7
chicken,7
theater,7
session,7
welcome,7
respect,7
Russian,7
strange,7
reading,7
explore,7
complex,7
athlete,7
meaning,7
married,7
predict,7
weather,7
Supreme,7
balance,7
connect,7
somehow,7
analyst,7
largely,7
revenue,7
package,7
obvious,7
anymore,7
propose,7
visitor,7
hearing,7
traffic,7
capture,7
content,7
declare,7
setting,7
outcome,7
airport,7
English,7
neither,7
surgery,7
correct,7
ancient,7
silence,7
typical,7
confirm,7
attract,7
bedroom,7
totally,7
stretch,7
fashion,7
welfare,7
opening,7
overall,7
initial,7
careful,7
holiday,7
witness,7
beneath,7
limited,7
faculty,7
liberal,7
massive,7
decline,7
towards,7
succeed,7
fishing,7
unusual,7
closely,7
approve,7
acquire,7
compete,7
illegal,7
forever,7
Israeli,7
display,7
musical,7
suspect,7
scholar,7
warning,7
climate,7
payment,7
request,7
emotion,7
airline,7
library,7
recover,7
factory,7
expense,7
funding,7
therapy,7
